,r2_score,pearson_corr,spearman_corr,mse_val,mae_val,model
0,0.692207932472229,0.8319903612136842,0.8326690627455716,0.028735034167766568,0.1291748583316803,cnn_on
1,0.682921588420868,0.8263906836509703,0.8266380515547543,0.030300572514534,0.1327672451734543,cnn_on
2,0.6863308548927308,0.828450858592987,0.8295668801730957,0.029745409265160564,0.1329396665096283,cnn_on
3,0.6735512018203735,0.8207016587257385,0.8217849723226383,0.030695082619786263,0.13551054894924164,cnn_on
4,0.6809965968132019,0.8252251744270322,0.8255776659459576,0.03000392392277717,0.13400158286094666,cnn_on
0,0.09598628431558606,0.30981653928756714,0.31289063516197757,0.08654686063528062,0.2433261871337891,scram_on
1,0.08192283660173415,0.2862216532230377,0.2829859166891824,0.0909707695245743,0.24919509887695315,scram_on
2,0.09890200197696684,0.3144868910312652,0.311184008543745,0.08820164948701857,0.2441673129796982,scram_on
3,0.10111675411462784,0.3179886043071746,0.3191582804600969,0.08833006024360655,0.24483020603656766,scram_on
4,0.10458342730998994,0.3233936131000519,0.32138869952420385,0.08529682457447053,0.24152956902980804,scram_on
0,0.5264068245887756,0.7255389690399171,0.6930938024084969,0.02463959716260433,0.11217756569385527,cnn_off
1,0.5180783867835999,0.7197766304016113,0.6914051032821362,0.02488576248288154,0.1136690080165863,cnn_off
2,0.5106080770492553,0.7145684361457825,0.6852682010088658,0.024819230660796165,0.11559565365314482,cnn_off
3,0.5328806042671204,0.7299867272377014,0.6918757609756562,0.024211553856730458,0.11039721965789795,cnn_off
4,0.5049331784248352,0.7105864882469176,0.6804048976379892,0.024419384077191353,0.11660060286521913,cnn_off
0,0.10302405804395676,0.32097360491752625,0.2953098160201004,0.04626455157995225,0.16375739872455597,scram_off
1,0.0885152816772461,0.2975151836872101,0.2839574315369072,0.04806169494986535,0.1685805171728134,scram_off
2,0.11255814880132675,0.3354968726634979,0.30234227831953586,0.04595870524644852,0.16295453906059265,scram_off
3,0.10201381891965865,0.31939601898193354,0.29869866237965575,0.04675573483109473,0.16226574778556824,scram_off
4,0.10911764204502104,0.3303295969963074,0.31119539339905233,0.04358508065342903,0.1582621932029724,scram_off
