"In silico optimized sensors","Original sensors"
0.63892932,0.19940329
0.66649791,0.24948690
0.53958493,0.57351294
0.39733156,0.01551275
0.45936175,0.01002262
0.40317327,0.43452579
0.47631596,0.61681329
0.42697831,0.03663597
0.33632337,0.57290288
0.56936707,0.75453619
0.61663972,0.88502356
0.41675558,-0.20936100
0.49834264,0.20224157
0.57574022,0.50028223
0.45279667,0.09480252
0.62824907,0.42754043
0.43064318,0.74372236
0.42912795,0.09318915
0.41147764,0.79115168
0.42828554,0.59652282
0.43842262,0.81810268
0.36940713,0.05519843
0.41273848,0.33584754
0.46607485,0.76693450
0.35802340,0.34319011
0.43289790,-0.97277940
0.45674348,0.62885666
0.32134480,0.60761380
0.54086214,0.19046810
0.42356351,0.08070269
0.50216522,0.55506221
0.61957417,0.70586259
0.28197670,0.19370019
0.29095435,0.72925220
0.39039163,0.12443748
0.58498814,0.07188976
0.48199108,0.04236673
0.52313933,0.27949611
0.36655610,0.42222323
0.59977227,0.25357148
0.46158933,0.02351584
0.52246622,0.39208349
0.47898157,0.22816439
0.39440969,0.09097870
0.49538837,0.66350983
0.44341887,0.02248418
0.34113776,0.41800232
0.46746558,-0.03901880
0.41865196,0.10619236
0.32705572,0.39023599
0.57849274,0.77285371
0.36950727,-0.45070250
0.33882095,0.52054858
0.47564932,0.08737870
0.65556801,0.04198975
0.45499676,0.41863249
0.51364445,0.50826714
0.59389177,0.24650663
0.36961276,0.25295684
0.48898436,0.72958834
0.60260437,0.21377121
0.49528357,0.27036652
0.33484480,0.22265706
0.38645750,0.15894558
0.49102577,0.59014928
0.46855430,0.11490699
0.41060600,0.50289564
0.65000060,0.18850704
0.54383729,-0.13477610
0.44501056,0.25865917
0.37927123,0.15031330
0.57523877,-0.07300780
0.48609495,0.83919653
0.37995393,-0.05708450
0.69937923,0.57643096
0.57985184,-0.33333330
0.55980944,0.69202485
0.53650573,-0.04977880
0.48504672,0.00000000
0.35528466,0.44908299
0.50034075,-0.00249280
0.56382540,0.10530189
0.48510172,0.64388321
0.54311335,0.30926380
0.38381584,0.00000000
0.62387826,-0.06150950
0.31216460,0.12101339
0.40744927,0.36096326
0.56021391,-0.09089960
0.35524270,0.24470041
0.47563869,-0.23640770
0.47314019,0.61695732
0.44802785,0.43852050
0.45428480,0.58799769
0.61965608,0.20618443
0.53642527,0.07551556
0.44426662,0.09548186
0.51570221,0.87097528
0.56317726,0.60704186
0.52489638,0.78600605
0.47883782,0.05203013
0.49925340,0.46981999
0.35887993,0.64903027
0.39740470,0.19063297
0.49415435,0.58868809
0.59291975,0.10857584
0.61726952,-0.20234350
0.55887243,-0.85165330
0.53854111,0.23818701
0.57051055,0.69974914
0.46885615,0.02637765
0.49979487,0.32952468
0.37525204,0.10476745
0.60388593,0.19304182
0.42941320,0.50423939
0.42566917,0.15542976
0.54365045,0.08928835
0.58531829,0.03007114
0.44210987,0.55376746
0.52924994,0.17627375
0.48422130,0.32994441
0.59246561,0.04592459
0.40393435,0.30326082
0.50156840,0.09950501
0.48303684,0.15198995
0.50501412,0.47732818
0.49330119,0.35608541
0.45740017,0.43988406
0.55493354,0.46672190
0.52510716,0.21678695
0.57101163,0.19299633
0.61875667,0.00680609
0.38259434,0.05749699
0.64410121,0.37132578
0.29927224,0.42556298
0.43091008,-0.03473990
0.36386008,0.23459909
0.57977107,0.66231544
0.53634066,0.41749941
0.41885187,0.16289787
0.38009013,0.19243449
0.64352892,0.45629409
0.62966296,0.30689909
0.44671974,0.87571094
0.60627708,0.66666667
0.55929330,-0.11137430
0.57529375,0.12269839
0.49550787,0.02667024
0.53683325,0.03213984
0.44633907,0.27607772
0.53791157,0.05706852
0.49450579,0.03571309
0.48947051,0.55893151
0.55705525,0.71538672
0.53054959,0.13193202
0.47648833,0.15096246
0.59551190,0.02731392
0.38874485,0.64344434
0.57959997,0.38669494
0.47471223,0.17381650
0.57840839,0.41869781
0.54437927,0.19955547
0.44665851,0.32535668
0.44876943,0.37501550
0.53643526,0.53980289
0.39405425,0.20452027
0.55251400,0.62167262
0.48675144,0.21167948
0.50818278,0.84756706
0.49725193,0.90411264
0.49473160,0.33333333
0.65701027,0.42492737
0.61207172,0.33688984
0.31125045,0.40129357
0.58481502,-0.05379350
0.54745864,0.58193068
0.41109800,0.02613190
0.35341918,0.32889846
0.52252722,0.44162539
0.64518934,0.83693710
0.31195799,-0.57283980
0.18454133,0.14555648
0.63211302,0.09559091
0.66406600,0.27504339
0.59816430,0.36400855
0.47244426,0.10712621
0.39338790,0.28748077
0.72314063,0.01221394
0.49502948,0.57206400
0.41439157,0.01836220
0.54616588,0.32140312
